section_id,user_id,status,role
5df966887f07860530ce7c5e4c64b37c,876753782,active,student
5df966887f07860530ce7c5e4c64b37c,364410114,active,teacher
5df966887f07860530ce7c5e4c64b37c,093889725,active,student
5df966887f07860530ce7c5e4c64b37c,756730969,active,student
5df966887f07860530ce7c5e4c64b37c,741544565,active,student
5df966887f07860530ce7c5e4c64b37c,158056346,active,student
5df966887f07860530ce7c5e4c64b37c,847725242,active,student
5df966887f07860530ce7c5e4c64b37c,896631761,active,student
5df966887f07860530ce7c5e4c64b37c,050076851,active,student
5df966887f07860530ce7c5e4c64b37c,538079358,active,teacher
5df966887f07860530ce7c5e4c64b37c,403437811,active,student
69dceded20dc6dda2baa102e2658e462,486294646,deleted,student
69dceded20dc6dda2baa102e2658e462,116948263,active,student
69dceded20dc6dda2baa102e2658e462,498332797,active,student
69dceded20dc6dda2baa102e2658e462,756144443,active,student
b81499b197cbc1db928ef796daeaed27,110380886,active,student
b81499b197cbc1db928ef796daeaed27,968184364,active,student
b81499b197cbc1db928ef796daeaed27,517881470,active,student
b81499b197cbc1db928ef796daeaed27,201957746,active,teacher
b81499b197cbc1db928ef796daeaed27,360988347,active,student
b81499b197cbc1db928ef796daeaed27,621185762,active,student
8db244454faecdd52115c800fcce3799,581382647,active,student
8db244454faecdd52115c800fcce3799,476947146,active,student
8db244454faecdd52115c800fcce3799,368089422,active,student
8db244454faecdd52115c800fcce3799,813741645,active,student
8db244454faecdd52115c800fcce3799,342228089,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,030617508,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,812260545,active,teacher
be4a0fce8b7e6c22dc1789ee7fa4d723,500630461,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,837324857,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,726222193,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,483863882,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,967714343,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,492023299,active,student
be4a0fce8b7e6c22dc1789ee7fa4d723,358419396,active,student
7c0dd00f2f498cf797db418982c2fe4e,175041532,active,student
7c0dd00f2f498cf797db418982c2fe4e,378475163,active,student
7c0dd00f2f498cf797db418982c2fe4e,438493612,active,student
7c0dd00f2f498cf797db418982c2fe4e,449479947,active,student
7c0dd00f2f498cf797db418982c2fe4e,927557029,active,student
7c0dd00f2f498cf797db418982c2fe4e,094685647,active,student
7c0dd00f2f498cf797db418982c2fe4e,303236160,completed,student
7c0dd00f2f498cf797db418982c2fe4e,065479999,active,student
6d501df7bb10ec02131538276897dc84,217115655,active,student
6d501df7bb10ec02131538276897dc84,305208736,active,student
6d501df7bb10ec02131538276897dc84,048280362,active,student
6d501df7bb10ec02131538276897dc84,675693929,active,student
6d501df7bb10ec02131538276897dc84,292431791,active,student
6d501df7bb10ec02131538276897dc84,324090411,active,student
6d501df7bb10ec02131538276897dc84,295619590,active,student
6d501df7bb10ec02131538276897dc84,467472082,active,student
fc5c486d6d2296e1b03500cfec638680,022848245,active,student
fc5c486d6d2296e1b03500cfec638680,093889725,active,student
fc5c486d6d2296e1b03500cfec638680,037801290,active,student
