section_id,name,course_id,status
5df966887f07860530ce7c5e4c64b37c,BIO-145 2022Winter-000,1893ed936565d55a75bbbee4254baf5f,active
69dceded20dc6dda2baa102e2658e462,BIO-145 2022Winter-001,1893ed936565d55a75bbbee4254baf5f,active
b81499b197cbc1db928ef796daeaed27,BIO-145 2022Spring-000,8116a13ca72ae702a19c5a846472c499,active
8db244454faecdd52115c800fcce3799,BIO-145 2022Spring-001,8116a13ca72ae702a19c5a846472c499,active
be4a0fce8b7e6c22dc1789ee7fa4d723,BIO-145 2022Spring-002,8116a13ca72ae702a19c5a846472c499,active
7c0dd00f2f498cf797db418982c2fe4e,BIO-145 2022Spring-Y003,8116a13ca72ae702a19c5a846472c499,active
6d501df7bb10ec02131538276897dc84,BIO-145 2022Summer-000,fbb7538f5946dc8bbaf58d99dc9dfac3,active
fc5c486d6d2296e1b03500cfec638680,BIO-145 2022Summer-001,fbb7538f5946dc8bbaf58d99dc9dfac3,active
334c50fca2cf6ab4ed86eb8831682f84,BIO-145 2022Summer-002,fbb7538f5946dc8bbaf58d99dc9dfac3,active
07d5360c3649f5980740eb9a8844eb03,BIO-145 2022Summer-003,fbb7538f5946dc8bbaf58d99dc9dfac3,active
c433136b698846da939370e8d8f99d5a,BIO-145 2022Summer-004,fbb7538f5946dc8bbaf58d99dc9dfac3,active
a4fe461c31339f0349a751a973286afd,BIO-145 2022Summer-005,fbb7538f5946dc8bbaf58d99dc9dfac3,active
0c1c344aa376a33fdb265cfbeded0b9e,BIO-145 2022Summer-006,fbb7538f5946dc8bbaf58d99dc9dfac3,active
ac2db85a0570ddc287bbcc1f67324340,BIO-145 2022Summer-007,fbb7538f5946dc8bbaf58d99dc9dfac3,active
a824b6fd1161d00a1c30ca1b38e36995,BIO-145 2022Fall-Y000,705957f8282dadadaec5cb4363cceccc,active
6f1b16867d2b1767a3d33ab827c8ea7a,BIO-145 2022Fall-Y001,705957f8282dadadaec5cb4363cceccc,active
3ad1042b702fa8dc9bf84eba3722e651,BIO-145 2022Fall-002,705957f8282dadadaec5cb4363cceccc,active
ca64bedefdda9b2d2a5916c949610984,BIO-145 2022Fall-003,705957f8282dadadaec5cb4363cceccc,active
c7fc5fd1e5950fb03f5629b02536f487,BIO-145 2022Fall-004,705957f8282dadadaec5cb4363cceccc,active
bcb5a385de6df73da06e23dd4be7ff86,BIO-145 2022Fall-005,705957f8282dadadaec5cb4363cceccc,active
29328fe9936bf2ec25fbfe243c2f6b6e,BIO-145 2023Winter-000,9918123760aaa2e633bb0e8715726bc3,active
b46537c3f0a130603fb3b511bda3de93,BIO-145 2023Winter-001,9918123760aaa2e633bb0e8715726bc3,active
f7e00d945de7016aa635784e116c0912,BIO-145 2023Winter-Y002,9918123760aaa2e633bb0e8715726bc3,active
183b0a434c9ce45e28cc1f401b1e8c59,BIO-145 2023Winter-003,9918123760aaa2e633bb0e8715726bc3,active
acb07618dbc177283581aa312bc42a8e,BIO-145 2023Winter-004,9918123760aaa2e633bb0e8715726bc3,active
30d94aea1cf8212fb0f9853f82bafa0a,BIO-145 2023Winter-005,9918123760aaa2e633bb0e8715726bc3,active
034ca45aff25940ecf5f285d4d960882,BIO-145 2023Spring-Y000,17b556ad2350acd5d2e054ff2f4a190a,active
4e10d6c605a406dc0aa0c78f18702ba3,BIO-145 2023Spring-001,17b556ad2350acd5d2e054ff2f4a190a,active
4e264f8f26d9461c42feb4c3f7020a09,BIO-145 2023Spring-Y002,17b556ad2350acd5d2e054ff2f4a190a,active
756998ac61dca21ca0ca34093b9fcbef,BIO-145 2023Spring-003,17b556ad2350acd5d2e054ff2f4a190a,active
2c1aca8baa54e7165cb695fa4cba6187,BIO-145 2023Spring-004,17b556ad2350acd5d2e054ff2f4a190a,active
d1f814ecf26a329ca689327f61151f36,BIO-145 2023Spring-Y005,17b556ad2350acd5d2e054ff2f4a190a,active
c5ef0e1fb2e70538d3131cce522c5a07,BIO-145 2023Summer-000,ecb8d9ca0a7d872562abce2020d34257,active
e6ac264c2f7fce73d8f3a61ed75fced9,BIO-145 2023Summer-001,ecb8d9ca0a7d872562abce2020d34257,active
